lecture,topics,readings,handouts
Intro to ML Decision Trees,"[{'name': 'Machine learning examples'}, {'name': 'Well defined machine learning problem'}, {'name': 'Decision tree learning'}]","[{'name': 'The Discipline of Machine Learning', 'link': 'http://www.cs.cmu.edu/%7Etom/pubs/MachineLearning.pdf'}, {'name': 'Mitchell: Ch 3 Bishop: Ch 14.4', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/01_DTreesAndOverfitting-1-12-2015.pdf'}, {'name': 'Video', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/video/1.html'}]"
Decision Tree learning Review of Probability,"[{'name': 'The big picture'}, {'name': 'Overfitting'}, {'name': 'Random variables and probabilities'}]","[{'name': ""Andrew Moore's Basic Probability Tutorial"", 'link': 'http://www.autonlab.org/tutorials/prob18.pdf'}, {'name': 'Mitchell: Ch 3', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/02_Overfitting_ProbReview-1-14-2015.pdf'}, {'name': 'Annotated Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/02_Overfitting_ProbReview-1-14-2015_ann.pdf'}, {'name': 'Video', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/video/2.html'}]"
Probability and Estimation,"[{'name': 'Bayes rule'}, {'name': 'MLE'}, {'name': 'MAP'}]","[{'name': 'Estimating Probabilities', 'link': 'http://www.cs.cmu.edu/%7Etom/mlbook/Joint_MLE_MAP.pdf'}, {'name': 'Mitchell:', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/03_MLE_MAP_NBayes-1-21-2015.pdf'}, {'name': 'Annotated Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/03_MLE_MAP_NBayes-1-21-2015_ann.pdf'}, {'name': 'Video', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/video/3.html'}]"
Naive Bayes,"[{'name': 'Conditional Independence'}, {'name': 'Naive Bayes: why and how'}]","[{'name': 'Naive Bayes and Logistic Regression', 'link': 'http://www.cs.cmu.edu/%7Etom/mlbook/NBayesLogReg.pdf'}, {'name': 'Mitchell:', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/04_NBayes-1-26-2015.pptx.pdf'}, {'name': 'Annotated Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/04_NBayes-1-26-2015-ann.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/ngKU5466i4o'}]"
Gaussian Naive Bayes,"[{'name': 'Gaussian Bayes classifiers'}, {'name': 'Document Classification'}, {'name': 'Brain image classification'}, {'name': 'Form of decision surfaces'}]","[{'name': 'Naive Bayes and Logistic Regression', 'link': 'http://www.cs.cmu.edu/%7Etom/mlbook/NBayesLogReg.pdf'}, {'name': 'Mitchell:', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/05_GNB_1-28-2015.pdf'}, {'name': 'Annotated Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/05_GNB_1-28-2015-ann.pdf'}, {'name': 'Video', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/video/5.html'}]"
Logistic Regression,"[{'name': 'Naive Bayes - the big picture'}, {'name': 'Logistic Regression: Maximizing conditional likelihood'}, {'name': 'Gradient ascent as a general learning/optimization method'}]","[{'name': 'Naive Bayes and Logistic Regression', 'link': 'http://www.cs.cmu.edu/%7Etom/mlbook/NBayesLogReg.pdf'}, {'name': 'Mitchell:', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/06_GenDiscr_LR_2-2-2015.pdf'}, {'name': 'Annotated Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/06_GenDiscr_LR_2-2-2015-ann.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/z_xPu9KrgCY'}]"
Linear Regression,"[{'name': 'Generative/Discriminative models'}, {'name': 'Minimizing squared error and maximizing data likelihood'}, {'name': 'Regularization'}, {'name': 'Bias-variance decomposition'}]",[],"[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/07_GenDiscr2_2-4-2015.pdf'}, {'name': 'Annotated Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/07_GenDiscr2_2-4-2015-ann.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/wA5h9pD1qrU'}]"
Learning Theory I,"[{'name': 'Distributional Learning'}, {'name': 'PAC and Statistical Learning Theory'}, {'name': 'Sample Complexity'}]","[{'name': 'Notes on Generalization Guarantees', 'link': 'sc-2015.pdf'}, {'name': 'Mitchell: Ch 7', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/08_Theory_2-9-2015.pdf'}, {'name': 'Video', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/video/8.html'}]"
Learning Theory II,"[{'name': 'Sample Complexity'}, {'name': 'Shattering and VC Dimension'}, {'name': ""Sauer's Lemma""}]","[{'name': 'Notes on Generalization Guarantees', 'link': 'sc-2015.pdf'}, {'name': 'Mitchell: Ch 7', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/09_Theory2_2-11-2015.pdf'}, {'name': 'Video', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/video/9.html'}]"
Learning Theory III,"[{'name': 'Rademacher Complexity'}, {'name': 'Overfitting and Regularization'}]",[],"[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/10_Theory3_2-16-2015.pdf'}, {'name': 'Video', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/video/10.html'}]"
Graphical Models I,"[{'name': 'Bayes Nets'}, {'name': 'Representing joint distributions with conditional independence assumptions'}]","[{'name': 'Bishop chapter 8, through 8.2', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/11_GrMod1_2-18-2015.pdf'}, {'name': 'Annotated Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/11_GrMod1_2-18-2015-ann.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/vdV81hCLwLE'}]"
Graphical Models II,"[{'name': 'Inference'}, {'name': 'Learning from fully observed data'}, {'name': 'Learning from partially observed data'}]",[],"[{'name': 'Annotated Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/12_GrMod1_2-23-2015-ann.pdf'}, {'name': 'Video', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/video/12.html'}]"
Graphical Models III,"[{'name': 'EM'}, {'name': 'Semi-supervised learning'}]","[{'name': 'Bishop Chapter 8 Mitchell Chapter 6', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/13_GrMod3_2-25-2015.pdf'}, {'name': 'Annotated Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/13_GrMod3_2-25-2015-ann.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/E16cqVHXow8'}]"
EM and Clustering,"[{'name': 'Mixture of Gaussian clustering'}, {'name': 'K-means clustering'}]","[{'name': 'Bishop Chapter 8 Mitchell Chapter 6', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/14_GrMod4_3-4-2015.pdf'}, {'name': 'Annotated Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/14_GrMod4_3-4-2015-ann.pdf'}, {'name': 'Video', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/video/14.html'}]"
Boosting,"[{'name': 'Weak vs Strong (PAC) Learning'}, {'name': 'Boosting Accuracy'}, {'name': 'Adaboost'}]","[{'name': 'The Boosting Approach to Machine Learning: An Overview', 'link': 'https://www.cs.princeton.edu/picasso/mats/schapire02boosting_schapire.pdf'}, {'name': 'Theory and Applications of Boosting (NIPS Tutorial)', 'link': 'http://www.cs.princeton.edu/~schapire/talks/nips-tutorial.pdf'}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/15_boosting_3-16-2015.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/28aAjtyzrRE'}]"
"Adaboost, Margins, Perceptron","[{'name': 'Adaboost: Generalization Guarantees(naive and margins based).'}, {'name': 'Geometric Margins and Perceptron'}]","[{'name': 'Notes on Perceptron', 'link': 'slides/perceptron-notes.pdf'}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/16_boosting-percepton-margins_03-18-2015.pdf'}, {'name': 'Slides (PPT)', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/16_boosting-percepton-margins_03-18-2015.pptx'}, {'name': 'Video', 'link': 'http://youtu.be/qI_QNnDN26k'}]"
Kernels,"[{'name': 'Geometric Margins'}, {'name': 'Kernels: Kernelizing a Learning Algorithm'}, {'name': 'Kernelized Perceptron'}]","[{'name': 'Bishop 6.1 and 6.2', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/17_margins-kernels_03-23-2015.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/T6AksiAVJ0k'}]"
SVM,"[{'name': 'Geometric Margins'}, {'name': 'SVM: Primal and Dual Forms'}, {'name': 'Kernelizing SVM'}, {'name': 'Semi-supervised Learning'}, {'name': 'Semi-supervised SVM'}]","[{'name': 'Notes on SVM by Andrew Ng', 'link': 'http://cs229.stanford.edu/notes/cs229-notes3.pdf'}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/18_svm-ssl_03-25-2015.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/JoJhXsdTWxM'}]"
Semi-supervised Learning,"[{'name': 'Transductive SVM'}, {'name': 'Co-training and Multi-view Learning'}, {'name': 'Graph-based Methods'}]","[{'name': '""Semi-Supervised Learning"" in Encyclopedia of Machine Learning', 'link': 'http://pages.cs.wisc.edu/~jerryzhu/pub/SSL_EoML.pdf'}, {'name': 'Co-training Paper', 'link': 'http://www.cs.cmu.edu/afs/cs.cmu.edu/project/theo-20/www/mitchell-pubs/colt98_final.ps'}, {'name': 'Transductive SVM Paper', 'link': 'http://www.cs.cornell.edu/people/tj/publications/joachims_99c.pdf'}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/19_ssl_03-30-2015.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/gnNLjX50F7U'}]"
Active Learning,"[{'name': 'Batch Active Learning'}, {'name': 'Selective Sampling and Active Learning'}, {'name': 'Sampling Bias'}]","[{'name': 'Two Faces of Active Learning', 'link': 'http://cseweb.ucsd.edu/~dasgupta/papers/twoface.pdf'}, {'name': 'Active Learning Literature Survey (by Burr Settles)', 'link': 'http://burrsettles.com/pub/settles.activelearning.pdf'}, {'name': 'Active Learning Survey (by Balcan and Urner)', 'link': 'http://www.cs.cmu.edu/~ninamf/papers/al-survey-enc-algos.pdf'}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/20_al_4-1-2015.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/2BZhsEakEH8'}]"
Partitional Clustering Hierarchical Clustering,"[{'name': ""k-means, Lloyd's method, k-means++""}, {'name': 'Agglomerative Clustering'}]","[{'name': 'Center Based Clustering: A Foundational Perspective', 'link': 'http://www.cs.cmu.edu/~ninamf/papers/cluster-chapter.pdf'}, {'name': 'Hastie, Tibshirani and Friedman, Chapter 14.3', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/21_clustering_4-6-2015.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/p3cB23CzpzQ'}]"
Learning Representations Dimensionality Reduction,"[{'name': 'Principal Component Analysis'}, {'name': 'Kernel Principal Component Analysis'}]","[{'name': 'Bishop 12.1, 12.3', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/22_pca-04-09-2015.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/ds8l8prOsvU'}]"
Never Ending Learning,[],[],"[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/23_nell_4-13-2015.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/OsPRlf4B6qg'}]"
Neural Networks Deep Learning,[],"[{'name': 'Mitchell, Chapter 4', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/24_nn_4-15-2015.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/CiMill_mVNE'}]"
Reinforcement Learning,"[{'name': 'Markov Decision Processes'}, {'name': 'Value Iteration'}, {'name': 'Q-learning'}]","[{'name': 'Kaelbling, et al., Reinforcement Learning: A Survey', 'link': 'https://www.jair.org/media/301/live-301-1562-jair.pdf'}, {'name': 'Mitchell, Chapter 13', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/25_rl_4-20-2015.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/mHE3UXEUbgc'}]"
Deep Learning Differential Privacy Discussion on the Future of ML,[],[],"[{'name': 'Slides (Privacy)', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/26_privacy_4-22-2015.pdf'}, {'name': 'Slides (Deep Nets)', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/26_deep_4-22-2015.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/5B3tZPNH85s'}]"
Course review,[],[],[]
